Acer,AcingTeam,Assisters,EventID,EventName,EventTime,InhibKilled,KillStreak,KillerName,Recipient,Result,TurretKilled,VictimName
,,,0,GameStart,0.0,,,,,,,
,,,1,MinionsSpawning,30.01388168334961,,,,,,,
,,['PoritoBelCoffe'],2,ChampionKill,107.7485580444336,,,NOC Meperdonass,,,,jalancer187
,,,3,FirstBlood,107.7485580444336,,,,NOC Meperdonass,,,
,,"['Sua', 'jalancer187']",4,ChampionKill,333.0218200683594,,,히든ˉ,,,,RaiSuke
,,"['Sua', 'jalancer187']",5,ChampionKill,339.58453369140625,,,히든ˉ,,,,NOC Meperdonass
,,,6,Multikill,339.58453369140625,,2,히든ˉ,,,,
,,"['RaiSuke', 'PoritoBelCoffe', 'NOC Meperdonass']",7,ChampionKill,344.0541076660156,,,Applenick3,,,,jalancer187
,,[],8,ChampionKill,346.84564208984375,,,NOC Mourd,,,,SDM TankDeivis
,,['PoritoBelCoffe'],9,ChampionKill,348.1204833984375,,,Applenick3,,,,Sua
,,,10,Multikill,348.1204833984375,,2,Applenick3,,,,
,,['Lucky'],11,ChampionKill,349.5995178222656,,,히든ˉ,,,,Applenick3
,,"['Sua', 'Lucky', 'jalancer187']",12,ChampionKill,351.39111328125,,,히든ˉ,,,,PoritoBelCoffe
,,,13,Multikill,351.39111328125,,2,히든ˉ,,,,
,,"['PoritoBelCoffe', 'NOC Meperdonass']",14,ChampionKill,352.1209716796875,,,Applenick3,,,,Lucky
,,,15,Multikill,352.1209716796875,,3,Applenick3,,,,
,,['Lucky'],16,ChampionKill,556.7684326171875,,,Sua,,,,RaiSuke
,,['Lucky'],17,ChampionKill,559.7194213867188,,,Sua,,,,Applenick3
,,,18,Multikill,559.7194213867188,,2,Sua,,,,
,,"['히든ˉ', 'jalancer187']",19,ChampionKill,696.970703125,,,Lucky,,,,RaiSuke
,,"['Sua', 'Lucky', 'jalancer187']",20,ChampionKill,700.146240234375,,,히든ˉ,,,,PoritoBelCoffe
,,['Sua'],21,ChampionKill,784.1704711914062,,,Lucky,,,,Applenick3
,,[],22,ChampionKill,925.7391357421875,,,히든ˉ,,,,PoritoBelCoffe
,,[],23,TurretKilled,944.572998046875,,,히든ˉ,,,Turret_TChaos_L0_P3_511845594_0,
,,,24,FirstBrick,944.572998046875,,,히든ˉ,,,,
,,['Lucky'],25,TurretKilled,1021.8672485351562,,,jalancer187,,,Turret_TChaos_L1_P3_2254202041_0,
,,"['Lucky', 'jalancer187']",26,ChampionKill,1023.1889038085938,,,Sua,,,,PoritoBelCoffe
,,[],27,ChampionKill,1028.660400390625,,,NOC Mourd,,,,SDM TankDeivis
,,[],28,TurretKilled,1205.074951171875,,,Lucky,,,Turret_TChaos_L2_P3_2521511112_0,
,,['jalancer187'],29,ChampionKill,1355.9991455078125,,,SDM TankDeivis,,,,Applenick3
,,[],30,TurretKilled,1373.5260009765625,,,NOC Mourd,,,Turret_TOrder_L0_P3_3795288474_0,
,,['PoritoBelCoffe'],31,ChampionKill,1386.7706298828125,,,NOC Meperdonass,,,,jalancer187
,,"['Lucky', '히든ˉ', 'jalancer187']",32,ChampionKill,1389.1007080078125,,,Sua,,,,RaiSuke
,,"['Sua', 'jalancer187']",33,ChampionKill,1395.5308837890625,,,SDM TankDeivis,,,,PoritoBelCoffe
,,"['SDM TankDeivis', 'Sua', 'Lucky', 'jalancer187']",34,ChampionKill,1396.5606689453125,,,히든ˉ,,,,NOC Meperdonass
,,[],35,TurretKilled,1449.1102294921875,,,NOC Mourd,,,Turret_TOrder_L2_P3_1509986696_0,
,,"['Sua', 'Lucky', 'jalancer187']",36,ChampionKill,1485.490234375,,,히든ˉ,,,,NOC Meperdonass
,,"['Sua', 'Lucky']",37,ChampionKill,1485.767578125,,,jalancer187,,,,RaiSuke
,,"['RaiSuke', 'Applenick3', 'NOC Meperdonass']",38,ChampionKill,1486.12109375,,,NOC Mourd,,,,jalancer187
,,"['Lucky', 'jalancer187']",39,ChampionKill,1487.053466796875,,,히든ˉ,,,,Applenick3
,,,40,Multikill,1487.053466796875,,2,히든ˉ,,,,
,,"['Sua', '히든ˉ']",41,TurretKilled,1507.337158203125,,,Lucky,,,Turret_TChaos_L0_P2_528623213_0,
,,[],42,TurretKilled,1518.9439697265625,,,SDM TankDeivis,,,Turret_TChaos_L1_P2_2237424422_0,
,,"['Applenick3', 'PoritoBelCoffe', 'NOC Meperdonass']",43,ChampionKill,1605.0042724609375,,,RaiSuke,,,,jalancer187
,,"['Lucky', '히든ˉ', 'jalancer187']",44,ChampionKill,1610.349365234375,,,SDM TankDeivis,,,,PoritoBelCoffe
,,"['NOC Mourd', 'RaiSuke', 'Applenick3']",45,ChampionKill,1704.847412109375,,,NOC Meperdonass,,,,jalancer187
,,"['히든ˉ', 'jalancer187']",46,ChampionKill,1708.6610107421875,,,Lucky,,,,RaiSuke
,,"['Lucky', '히든ˉ', 'jalancer187']",47,ChampionKill,1710.9952392578125,,,Sua,,,,NOC Mourd
,,"['Lucky', 'jalancer187']",48,ChampionKill,1713.8790283203125,,,히든ˉ,,,,Applenick3
,,"['Sua', 'Lucky', '히든ˉ', 'jalancer187']",49,ChampionKill,1718.147705078125,,,SDM TankDeivis,,,,NOC Meperdonass
,,"['SDM TankDeivis', 'Sua', 'Lucky']",50,ChampionKill,1718.9415283203125,,,히든ˉ,,,,PoritoBelCoffe
,,,51,Multikill,1718.9415283203125,,2,히든ˉ,,,,
히든ˉ,ORDER,,52,Ace,1718.9415283203125,,,,,,,
,,"['SDM TankDeivis', 'Lucky', '히든ˉ']",53,TurretKilled,1727.6865234375,,,Sua,,,Turret_TChaos_L2_P2_2538288731_0,
,,"['SDM TankDeivis', 'Lucky', '히든ˉ']",54,TurretKilled,1739.8109130859375,,,Sua,,,Turret_TChaos_L2_P1_2555066350_0,
,,"['SDM TankDeivis', 'Lucky', '히든ˉ']",55,InhibKilled,1742.9783935546875,Inhib_TChaos_L2_P1_2351107073_0,,Sua,,,,
,,"['SDM TankDeivis', 'Sua', 'Lucky']",56,TurretKilled,1750.0264892578125,,,히든ˉ,,,Turret_TChaos_L1_P4_392430785_0,
,,"['Sua', 'Lucky', '히든ˉ']",57,TurretKilled,1753.3026123046875,,,SDM TankDeivis,,,Turret_TChaos_L1_P5_342097928_0,
,,,58,GameEnd,1761.2354736328125,,,,,Win,,
